,Tipo de Propiedad,Zona,Barrio,Tipo de Barrio,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Superficie Cubierta m2,Superficie Total m2,Zona_was_missing,Barrio_was_missing,Tipo de Barrio_was_missing,Cantidad de Dormitorios_was_missing,Cantidad de Baños_was_missing,Cantidad de Cocheras_was_missing,Superficie Cubierta m2_was_missing,Superficie Total m2_was_missing,Valor
2731,Casa,Cerro-Argüello,San Isidro,Cerrado,2.0,2.0,0.0,182.0,642.0,False,False,False,False,True,True,False,False,205000.0
2732,Duplex,Cerro-Argüello,Valle del Sol,Abierto,3.0,2.0,0.0,160.56861877441406,282.94561767578125,False,False,False,False,True,True,True,True,180000.0
2733,Casa,Cerro-Argüello,Golf,Abierto,3.0,2.0,1.0,141.63861083984375,297.3433532714844,False,False,False,False,False,False,True,True,87000.0
2734,Casa,Cerro-Argüello,Chacras de la Villa,Cerrado,4.0,5.0,2.0,326.0,1100.0,False,False,False,False,False,False,False,False,390000.0
2735,Duplex,Cerro-Argüello,Palmas de Claret,Cerrado,3.0,3.0,0.0,189.78829956054688,266.6221923828125,False,False,False,False,False,True,True,True,76000.0
2736,Duplex,Norte,Otro,Cerrado,3.0,2.0,0.0,155.0,250.0,True,True,True,False,True,True,False,False,175000.0
2737,Duplex,Cerro-Argüello,Urca,Abierto,2.0,2.0,1.0,125.78141021728516,254.02919006347656,False,False,False,False,False,False,True,True,165000.0
2738,Casa,Sur,Res. Vélez Sársfield,Abierto,3.0,2.0,0.0,120.0,360.0,False,False,False,False,True,True,False,False,85000.0
2739,Casa,Norte,Pque. Liceo I,Abierto,4.0,2.0,0.0,188.48455810546875,262.9684143066406,False,False,False,False,True,True,True,True,140000.0
2740,Duplex,Norte,Otro,Cerrado,3.0,3.0,1.0,160.0,200.0,True,True,True,False,False,False,False,False,260000.0
2741,Duplex,Cerro-Argüello,Villa Belgrano,Abierto,3.0,2.0,2.0,152.0,193.0,False,False,False,False,False,False,False,False,250000.0
2742,Duplex,Cerro-Argüello,Palmas de Claret,Cerrado,5.0,2.0,0.0,195.23924255371094,237.86322021484375,False,False,False,False,True,True,True,True,150000.0
