,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
3368,Casa,,Córdoba,Talleres Oeste,Panaholma  1233,Abierto,Si,,Terminada,50 años ,1 Planta,2 Dormitorios,1 Baño,1,Cubierta,480 m2,200 m2,
3369,Casa,Sur,Córdoba,Pque. Velez Sarsfield,Ernesto LaPadula  800,Abierto,Si,,Terminada,50 años,1 Planta,2 Dormitorios,2 Baños,1,Cubierta,234,129,130000
3370,Casa,,Villa Carlos Paz,,,Cerrado,,,Terminada,5 años,,3 Dormitorios,3 Baños,1,Cubierta,600,280,380000
3371,Casa,Oeste,Córdoba,San Salvador,Peatonal B 100,Abierto,Si,,Terminada,10 años,,3 Dormitorios,2 Baños,,,85,85,85000
3372,Casa,,Córdoba,Horizonte,,Abierto,,,,,,2 Dormitorios,,,,,,
3373,Casa,Norte,Córdoba,Cerro de las Rosas,loza bravo 3360,Abierto,Si,,Terminada,37 años,2 Plantas,4 Dormitorios,3 Baños,2,Cubierta,467,340,390000
3374,Casa,Norte,Córdoba,Cerro de las Rosas,PETTORUTTI 2200,Abierto,Si,,,,1 Planta,3 Dormitorios,1 Baño,1,Cubierta,414,150,170000
3375,Casa,,Córdoba,General Bustos,CURA BROCHERO  400,Abierto,Si,,Terminada,,1 Planta,2 Dormitorios,1 Baño,,,262,164,34000
3376,Casa,,Malagueño,Las Cañitas Barrio Privado,Ruta C 45 KM 1 1,Cerrado,Si,,En Pozo,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,530,185,220000
3377,Casa,,Malagueño,Las Cañitas Barrio Privado,Ruta C 45 KM 1 1,Cerrado,Si,,Terminada,Estrenar,1 Planta,3 Dormitorios,2 Baños,2,Semidescubierta,150,130,206000
3378,Casa,Sur,Córdoba,Res. San Carlos,MALAGUEÑO 2050,Abierto,Si,,,50 AÑOS,,2 Dormitorios,,,,250,130,35000
3379,Casa,,Malagueño,Las Cañitas Barrio Privado,Ruta C 45 KM 1 1,Cerrado,Si,,En Construcción,Estrenar,2 Plantas,3 Dormitorios,2 Baños,2,Semidescubierta,530,195,210000
3380,Casa,,Malagueño,Las Cañitas Barrio Privado,Ruta C 45  1,Cerrado,Si,,,,1 Planta,3 Dormitorios,2 Baños,2,Semidescubierta,618,182,206000
3381,Casa,,Mendiolaza,Estancia Q2,,Cerrado,Si,,,,3 Plantas,3 Dormitorios,Más de 4 Baños,3,,1375,352,
3382,Duplex,,Córdoba,Las Dalias,,Cerrado,,,Terminada,20 años,2 Plantas,3 Dormitorios,2 Baños,,,,,105000
3383,Casa,,Mendiolaza,Estancia Q2,,Country,,,,,,3 Dormitorios,,,,,,465000
3384,Casa,,Córdoba,Alto Alberdi,Coronel Pedro Zanni 48,Abierto,Si,,,,,3 Dormitorios,,,,316,220,150000
3385,Casa,,Malagueño,Las Cañitas Barrio Privado,Ruta C 45 KM 1 1,Cerrado,Si,,,,1 Planta,3 Dormitorios,3 Baños,1,Semidescubierta,530,205,
3386,Casa,,San Ignacio,,Escobar 100,Abierto,Si,,,,,2 Dormitorios,,,,,,78000
3387,Casa,,Mendiolaza,Estancia Q2,,Country,,,Terminada,5 años,2 Plantas,4 Dormitorios,Más de 4 Baños,,,600,2000,
3388,Casa,,Mendiolaza,Estancia Q2,,Cerrado,Si,,,,1 Planta,3 Dormitorios,,,,1250,341,
3389,Casa,,Mendiolaza,Estancia Q2,,Country,Si,,,8 años,,4 Dormitorios,,,,1800,600,
3390,Casa,,Mendiolaza,Estancia Q2,,,Si,,Terminada,,,3 Dormitorios,,,Cubierta,1600,370,
3391,Casa,Sur,Córdoba,Jardín,COSQUIN 1100,Abierto,Si,,,,1 Planta,3 Dormitorios,2 Baños,2,,250,110,135000
3392,Casa,,Mendiolaza,Estancia Q2,,Cerrado,Si,,,,2 Plantas,3 Dormitorios,,,,1120,340,427000
3393,Casa,,Mendiolaza,Estancia Q2,,,Si,,Terminada,,,3 Dormitorios,,,,900,430,
3394,Casa,,Mendiolaza,Estancia Q2,,Cerrado,Si,,Terminada,,,3 Dormitorios,,2,,350,1000,
3395,Casa,,Río Ceballos,Villa Catalina,Villa Catalina,,,,,,1 Planta,2 Dormitorios,1 Baño,,,475,85,99000
