,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
1061,,,Pdo. de Santa Maria,Malagueño,Neuquen ,,,,,50,1,2,1,,,350,120,22551
1062,Casa,,Córdoba,General Pueyrredon,Libertad 1900,,,,,60,2,3,2,4,,125,182,
1063,Casa,,Córdoba,Alta Cordoba,Lope De Vega 1000,,,,,30,2,6,2,,,135,165,140000
1064,Casa,,Córdoba,Parque Velez Sarsfield,La Padula 700,,,,,40,1,4,3,2,,356,205,
1065,,,Córdoba,Arguello,Viracocha al 7300 ,,,,,,,3,1,,,1.400,350,250000
1066,Casa,,Córdoba,Colon,Navarra 2200,,,,,,1,3,2,,,291,170,125000
1067,Casa,,Villa Allende,Prados de La Villa Housing,Prados De La Villa Housing 9300,,,,,12,1,2,1,1,,600,215,120000
1068,Casa,,Córdoba,Bajo Palermo,Betania 3100,,,,,20,,3,2,1,,160,120,125000
1069,Casa,,Pdo. de Santa Maria,Alta Gracia,,,,,,,2,4,4,,,518,466,350000
1070,Casa,,Córdoba,Villa Belgrano,Pasaje Los Talas 100,,,,,,1,4,2,2,,446,,240000
1071,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido,China 100,,,,,,2,4,5,3,,1.500,450,
1072,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido,Av. Republica De China 100,,,,,15,2,3,3,4,,600,300,
1073,,,Pdo. de Punilla,Cosquin,B° Villa Buena Vista ,,,,,25,2,4,1,2,,4.900,186,160000
1074,Casa,,Pdo. de Colon,Unquillo,9 De Julio 200,,,,,,,2,1,,,145,,90000
1075,Casa,,Córdoba,Cerro De Las Rosas,"Cerro De Las Rosas, Jose Esteban Bustos 1600",,,,,,,4,4,2,,950,520,365000
1076,Casa,,Córdoba,Cerro De Las Rosas,Rafael Núñez 3500,,,,,,,4,4,5,,615,330,
1077,Casa,,Córdoba,Villa Cabrera,Ciudad Del Esteco 3400,,,,,,,2,2,,,120,120,110000
1078,Casa,,Pdo. de Punilla,Villa Carlos Paz,Sol Y Río 100,,,,,,,3,2,,,450,213,140000
1079,Casa,,Córdoba,Alberdi,27 De Abril 2200,,,,,,2,4,3,1,,230,28.116,250000
1080,Casa,,Pdo. de Punilla,Villa Carlos Paz,B° Las Vertientes 100,,,,,,,3,3,,,1.200,300,360000
1081,Casa,,Pdo. de Colon,Mendiolaza,La Alameda 100,,,,,15,,2,2,1,,469,110,109000
1082,Casa,,Pdo. de Punilla,Villa Carlos Paz,,,,,,30,2,3,2,1,,1.400,200,160000
1083,Casa,,Pdo. de Punilla,Punilla,Ruta 14 Km Al 100,,,,,,2,2,1,1,,140,116,135000
1084,Casa,,Córdoba,San Daniel,Canes 3400,,,,,20,1,3,1,2,,250,159,105670
1085,Casa,,Córdoba,Villa Cabrera,Pasaje Los Lirios 1500,,,,,,2,4,2,2,,220,230,205000
1086,Casa,,Córdoba,General Paz,Lima 2000,,,,,46,2,4,3,1,,500,296,230000
1087,Casa,,Córdoba,Poeta Lugones,Francisco Luis Bernárdes 4600,,,,,15,1,2,1,2,,250,180,118000
1088,Casa,,Córdoba,Arguello,Llanquen 8500,,,,,,,3,1,,,250,120,49000
1089,Casa,,Pdo. de Cordoba Capital,Nuevo Poeta Lugones,Felix Gigena 100,,,,,,1,4,3,1,,360,280,245000
1090,Casa,,Villa Allende,Villa Allende Golf,S/n 100,,,,,,,4,4,2,,230,200,246000
1091,Casa,,Alta Gracia,Pellegrini,,,,,,,1,3,2,1,,333,200,260000
1092,Casa,,Córdoba,Lomas de la Carolina,Lomas De La Carolina 100,,,,,15,,5,7,,,7.200,600,1200000
1093,Casa,,Pdo. de General Roca,Los Gauchos De Guemes,Villegas 2200,,,,,40,,8,4,,,500,400,312000
1094,Casa,,Villa Carlos Paz,La Quinta,B° La Quinta 1° S. 100,,,,,,,2,1,,,450,75,130000
1095,,,Pdo. de San Javier,Villa Dolores,RJ Noble ,,,,,,,3,2,,,500,100,38659
1096,Casa,,Villa Carlos Paz,Causana,Causana 100,,,,,,1,3,3,,,2.500,400,580000
1097,Casa,,Alta Gracia,El Golf,,,,,,,1,3,2,2,,800,200,230000
1098,,,Pdo. de Santa Maria,Villa La Bolsa,Buenos Aires al 500. VILLA LA BOLSA ,,,,,,2,4,3,3,,3.000,,329990
1099,Casa,,Alta Gracia,Sur,24 De Septiembre 600,,,,,,1,2,1,1,,180,154,100000
1100,Casa,,Córdoba,Centro,Lima 200,,,,,,1,7,2,1,,200,210,215000
1101,Casa,,Pdo. de Cruz Del Eje,Las Tapias,Privada 100,,,,,,,2,1,,,375,60,33505
1102,Casa,,Alta Gracia,Liniers,,,,,,,1,3,2,1,,248,83,105000
1103,Casa,,Villa Allende,Villa Allende Golf,Villa Allende  calle Paris 100,,,,,20,,3,2,,,2.925,200,290000
1104,Casa,,Pdo. de Punilla,Villa Carlos Paz,Peron 100,,,,,,,3,1,,,440,140,120000
1105,,,Pdo. de Cordoba Capital,Cordoba,APTO A CREDITO! Luis Granneo al 3000 ,,,,,50,2,3,2,1,,100,160,83000
1106,Casa,,Villa Carlos Paz,Causana,Causana 100,,,,,,2,4,3,,,4.500,450,700000
1107,Casa,,Córdoba,Parque Chacabuco,Pque Chacabuco El Pueblito 2600,,,,,,,4,3,,,847,350,290000
1108,Casa,,Alta Gracia,Norte,Prudencio Bustos 500,,,,,,,2,1,,,296,153,120000
1109,Casa,,Rio Ceballos,Terrazas De Rio Ceballos,Juan Bautista Alberdi 100,,,,,,1,4,2,,,1.530,212,200000
1110,Casa,,Pdo. de Calamuchita,Villa General Belgrano,Calamuchita 100,,,,,,,3,3,,,40.000,300,950000
1111,Casa,,Pdo. de Santa Maria,Alta Gracia,,,,,,,,4,2,,,600,120,41237
1112,Casa,,Pdo. de San Javier,Yacanto,S/n 100,,,,,,1,3,1,,,80,15,11597
1113,Casa,,Córdoba,Alejandro Centeno,Chacras Del Norte 100,,,,,2,,3,3,2,,180,150,170000
1114,,,Pdo. de Colon,La Calera,Av. Maruzich S/N ,,,,,5,1,1,1,1,,400,41,12500
1115,,,Pdo. de Cordoba Capital,Cordoba,"Av, Fuerza Aerea al 4600 ",,,,,50,1,4,2,,,740,240,147000
